S. No,Building Type,Code,Space type,Code 2,Activity Description_eQUEST,ActivityCode,Building_Type,Lighting Power density (W/sqft),Equipment Power Density (W/sqft),Occupancy (Sqft/person),Fresh air per person (CFM/person),Fresh air per area (CFM/sqft),Fresh Air (ACH)
1,Office,Off,Enclosed,Enclosed,74_Off_Enclosed,OfficeEnclosed,Office - enclosed,1.11,0.75,275,5,0.06,
2,Office,Off,Open,Open,75_Off_Open,OfficeOpen,Office - open plan,0.98,0.75,275,5,0.06,
3,Common Spaces,,Lecture,Lecture,76_CO_Lecture,Common SpacesLecture,Classroom/lecture/training,1.24,1,200,7.5,0.06,
4,Common Spaces,CO,Classroom/Lecture/Training,Classroom/Lecture/Training,77_CO_Classroom/Lecture/Training,Common SpacesClassroom/Lecture/Training,Classroom/lecture/training,1.24,1,200,10,0.12,
5,Common Spaces,CO,Multipurpose/Meeting/Conference,Conference/Multipurpose,78_CO_Conference/Multipurpose,Common SpacesMultipurpose/Meeting/Conference,Conference/meeting/multipurpose,1.23,1,200,7.5,0.06,
6,Common Spaces,CO,Corridor/Transition,Corridor/Transition,79_CO_ Corridor/Transition,Common SpacesCorridor/Transition,Corridor/transition,0.66,0,200,0,0.06,
7,Common Spaces,CO,Dining Area,Dining Area,80_CO_Dining Area,Common SpacesDining Area,Dining area,0.65,0,200,7.5,0.18,
8,Common Spaces,CO,Bar Lounge/Leisure Dining,Bar Lounge/Leisure Dining,81_CO_Bar Lounge/Leisure Dining,Common SpacesBar Lounge/Leisure Dining,Dining area bar lounge/leisure dining,1.31,0,200,7.5,0.18,
9,Common Spaces,CO,Family Dining,Family Dining,82_CO_Family Dining,Common SpacesFamily Dining,Dining area family dining,0.89,0.1,200,7.5,0.18,
10,Common Spaces,CO,"Dressing/Fitting Room for Perform
ingArtsTheater",ArtTheatre_Dressing/Fitting Room,83_CO_ArtTheatre_Dressing/Fitting Room,"Common SpacesDressing/Fitting Room for Perform
ingArtsTheater",Dressing/fitting room: performing arts theater,0.4,0,200,10,0.06,
11,Common Spaces,CO,Mechanical/Electrical,Electrical/Mechanical,84_CO_Electrical/Mechanical,Common SpacesMechanical/Electrical,Electrical/mechanical,0.95,0,200,5,0.06,
12,Common Spaces,CO,Food Preparation,Food Preparation,85_CO_Food Preparation,Common SpacesFood Preparation,Food preparation,0.99,0,200,7.5,0.12,
13,Common Spaces,CO,Lobby,Lobby,86_CO_Lobby,Common SpacesLobby,Lobby,0.9,0,200,5,0.06,
14,Common Spaces,CO,Elevator,Elevator,87_Lobby_Elevator,Common SpacesElevator,Lobby - elevator,0.64,0,200,5,0.06,
15,Common Spaces,CO,Performing Arts Theater,Performing Arts Theater,88_Lobby_Performing Arts Theater,Common SpacesPerforming Arts Theater,Lobby - performing arts theater,2,0,200,10,0.06,
16,Common Spaces,CO,Motion Picture Theater,Motion Picture Theater,89_Lobby_Motion Picture Theater,Common SpacesMotion Picture Theater,Lobby - motion picture theater,0.52,0,200,10,0.06,
17,Common Spaces,CO,Changing/Locker Room,Locker Room,90_CO_ Locker Room,Common SpacesChanging/Locker Room,Locker room,0.75,0,200,0,0.5,
18,Common Spaces,CO,Break/Lounge/Recreation,Lounge/Recreation,91_CO_ Lounge/Recreation,Common SpacesBreak/Lounge/Recreation,Lounge/recreation,0.73,0,200,7.5,0.18,
19,Common Spaces,CO,Restrooms,Restrooms,92_CO_ Restrooms,Common SpacesRestrooms,Restrooms,0.98,0,200,5,0.06,
20,Common Spaces,CO,Sales Area,Sales Area,93_CO_Sales Area,Common SpacesSales Area,Sales area,1.68,0,200,7.5,0.12,
21,Common Spaces,CO,Stairway,Stairway,94_CO_ Stairway,Common SpacesStairway,Stairway,0.69,0,200,0,0.06,
22,Common Spaces,CO,Archive/Storage,Storage,95_CO_Storage,Common SpacesArchive/Storage,Storage,0.63,0,200,5,0.06,
23,Common Spaces,CO,Workshop,Workshop,96_CO_Workshop,Common SpacesWorkshop,Workshop,1.59,0,200,10,0.18,
24,Common Spaces,CO,Unknown,Unknown,97_CO_Unknown,Common SpacesUnknown,,0,0,200,0,0,0
25,Residential,Red,Living Room,Living Room,,ResidentialLiving Room,,0.9,0.5,50,5,0.06,
26,Residential,Red,Bedroom,Bedroom,,ResidentialBedroom,,0.9,0.5,50,5,0.06,
27,Residential,Red,Study,Study,,ResidentialStudy,,0.9,0.5,50,5,0.06,
28,Residential,Red,Kitchen,Kitchen,,ResidentialKitchen,,0.9,2,25,5,0.06,
29,Residential,Red,Bathrooms,Bathrooms,,ResidentialBathrooms,,0.9,0,200,0,0,0
30,Hospital,Hosp,Corridor/Transition,Corridor/Transition,17_Hosp_ Corridor/Transition,HospitalCorridor/Transition,Hospital - corridor/transition,0.89,1,200,0,0.06,
31,Hospital,Hosp,Emergency,Emergency,18_Hosp_Emergency,HospitalEmergency,Hospital - emergency,2.26,1,200,,,2
32,Hospital,Hosp,Exam/Treatment,Exam/Treatment,19_Hosp_ Exam/Treatment,HospitalExam/Treatment,Hospital - exam/treatment,1.66,1,200,,,2
33,Hospital,Hosp,Laundry/Washing,Laundry/Washing,20_Hosp_ Laundry/Washing,HospitalLaundry/Washing,Hospital - laundry/washing,0.6,1,200,,,2
34,Hospital,Hosp,Lounge/Recreation,Lounge/Recreation,21_Hosp_ Lounge/Recreation,HospitalLounge/Recreation,Hospital - lounge/recreation,1.07,1,200,,,2
35,Hospital,Hosp,Medical Supply,Medical Supply,22_Hosp_Medical Supply,HospitalMedical Supply,Hospital - medical supply,1.27,1,200,,,2
36,Hospital,Hosp,Infant Nursery,Nursery,23_Hosp_Nursery,HospitalInfant Nursery,Hospital - nursery,0.88,1,200,,,2
37,Hospital,Hosp,Nurses’Station,Nurses’Station,24_Hosp_ Nurses’Station,HospitalNurses’Station,Hospital - nurses' station,0.87,1,200,,,2
38,Hospital,Hosp,Operating Room,Operating Room,25_Hosp_Operating Room,HospitalOperating Room,Hospital - operating room,1.89,1,200,,,4
39,Hospital,Hosp,Patient Room,Patient Room,26_Hosp_ Patient Room,HospitalPatient Room,Hospital - patient room,0.62,1,200,,,2
40,Hospital,Hosp,Chemist/Pharmacy,Pharmacy,27_Hosp_ Pharmacy,HospitalChemist/Pharmacy,Hospital - pharmacy,1.14,1,200,,,2
41,Hospital,Hosp,Physical Therapy,Physical Therapy,28_Hosp_ Physical Therapy,HospitalPhysical Therapy,Hospital - physical therapy,0.91,1,200,,,2
42,Hospital,Hosp,Radiology/Imaging,Radiology/Imaging,29_Hosp_ Radiology/Imaging,HospitalRadiology/Imaging,Hospital - radiology/imaging,1.32,1,200,,,2
43,Hospital,Hosp,Recovery,Recovery,30_Hosp_Recovery,HospitalRecovery,Hospital - recovery,1.15,1,200,,,2
44,Highway Lodging/Hotel,Hot,Dining-Hotel,Hotel Dining,31_Hot_Hotel Dining,Highway Lodging/HotelDining-Hotel,Hotel dining,0.82,0.25,250,7.5,0.18,
45,Highway Lodging/Hotel,Hot,Hotel Guest Rooms,Hotel Guest Rooms,32_Hot_ Hotel Guest Rooms,Highway Lodging/HotelHotel Guest Rooms,Hotel guest rooms,1.11,0.25,250,5,0.06,
46,Highway Lodging/Hotel,Hot,Lobby-Hotel,Hotel Lobby,33_Hot_ Hotel Lobby,Highway Lodging/HotelLobby-Hotel,Hotel lobby,1.06,0.25,250,7.5,0.06,
47,Highway Lodging/Hotel,Hot,Highway Lodging Dining,Lodging Dining,34_Hot_Lodging Dining,Highway Lodging/HotelHighway Lodging Dining,Highway lodging dining,0.88,0.25,250,7.5,0.18,
48,Highway Lodging/Hotel,Hot,Guest Rooms Highway Lodging,Lodging Guest Rooms,35_Hot_Lodging Guest Rooms,Highway Lodging/HotelGuest Rooms Highway Lodging,Highway lodging guest rooms,0.75,0.25,250,5,0.06,
49,Automotive,Auto,Service/Repair,Service/Repair,1_Auto_Service/Repair,AutomotiveService/Repair,Automotive - service/repair,0.67,0.46,215,7.5,0.06,
50,Bank/Office,Bank,BankingActivityArea,BankingActivityArea,2_Bank_BankingActivityArea,Bank/OfficeBankingActivityArea,Bank/office - banking activity area,1.38,1.5,67,7.5,0.06,
51,Assembly/Convention Center,Conv_Cent,Audience Seating,Audience Seating,3_Conv_Cent_Audience Seating,Assembly/Convention CenterAudience Seating,Convention center - audience seating,0.82,0.23,30,5,0.06,
52,Assembly/Convention Center,Conv_Cent,Exhibit Space,Exhibit Space,4_Conv_Cent_ Exhibit Space,Assembly/Convention CenterExhibit Space,Convention center - exhibit seating,1.45,0.23,10,5,0.06,
53,Penitentiary/Courthouse/PoliceStation,Police,Courtroom,Courtroom,5_Police_Courtroom,Penitentiary/Courthouse/PoliceStationCourtroom,Court/police/penitentiary - courtroom,1.72,0.23,15,5,0.06,
54,Penitentiary/Courthouse/PoliceStation,Police,Cells Confinement,ConfinementCells,6_Police_ConfinementCells,Penitentiary/Courthouse/PoliceStationCells Confinement,Court/police/penitentiary - confinement cells,1.1,0,40,5,0.06,
55,Penitentiary/Courthouse/PoliceStation,Police,Judges’Chambers,Judges’Chambers,7_Police_Judges’Chambers,Penitentiary/Courthouse/PoliceStationJudges’Chambers,Court/police/penitentiary - judges' chambers,1.17,0.23,250,5,0.06,
56,Penitentiary/Courthouse/PoliceStation,Police,Audience Seating-Penitentiary,Audience Seating,8_Police_Audience Seating,Penitentiary/Courthouse/PoliceStationAudience Seating-Penitentiary,Penitentiary audience seating,0.43,0.46,7,5,0.06,
57,Penitentiary/Courthouse/PoliceStation,Police,Classroom-Penitentiary,Classroom,9_Police_Classroom,Penitentiary/Courthouse/PoliceStationClassroom-Penitentiary,Penitentiary classroom,1.34,0.46,15,10,0.12,
58,Penitentiary/Courthouse/PoliceStation,Police,Dining-Penitentiary,Penitentiary Dining,10_Police_ Penitentiary Dining,Penitentiary/Courthouse/PoliceStationDining-Penitentiary,Penitentiary dining,1.07,0.46,10,7.5,0.18,
59,Dormitory,Dor,Living Quarters,Living Quarters,11_Dor_Living Quarters,DormitoryLiving Quarters,Dormitory - living quarters,0.38,0.5,50,5,0.06,
60,Fire Stations,FireStn,Engine Room,Engine Room,12_FireStn_ Engine Room,Fire StationsEngine Room,Fire station - engine room,0.56,0.23,269,5,0.06,
61,Fire Stations,FireStn,Sleeping Quarters,Sleeping Quarters,13_FireStn_ Sleeping Quarters,Fire StationsSleeping Quarters,Fire station - sleeping quarters,0.25,0.23,50,5,0.06,
62,Gymnasium/FitnessCenter,Gym_Fit,Fitness Area,Fitness Area,14_Gym_Fit_ Fitness Area,Gymnasium/FitnessCenterFitness Area,Gym/fitness center - fitness area,0.72,0.09,33,0,30,
63,Gymnasium/FitnessCenter,Gym_Fit,Gymnasium Audience Seating,Audience Seating,15_Gym_Fit_Audience Seating,Gymnasium/FitnessCenterGymnasium Audience Seating,Gymnasium audience seating,0.43,0.09,7,5,0.06,
64,Gymnasium/FitnessCenter,Gym_Fit,Playing Area,Playing Area,16_Gym_Fit_Playing Area,Gymnasium/FitnessCenterPlaying Area,Gymnasium/fitness center - playing area,1.2,0.14,33,0,30,
65,Library,Lib,Card File and Cataloging,Card File and Cataloging,36_Lib_ Card File and Cataloging,LibraryCard File and Cataloging,Library - card file and cataloging,0.72,1,200,5,0.12,
66,Library,Lib,Reading Area,Reading Area,37_Lib_ Reading Area,LibraryReading Area,Library - reading area,0.93,1,200,5,0.12,
67,Library,Lib,Stacks,Stacks,38_Lib_Stacks,LibraryStacks,Library - stacks,1.71,1,200,5,0.12,
68,Manufacturing,Manf,Corridor/Transition,Corridor/Transition,39_Manf_ Corridor/Transition,ManufacturingCorridor/Transition,Manufacturing - corridor/transition,0.41,0.2,750,0,0.06,
69,Manufacturing,Manf,Detailed Manufacturing,Detailed Manufacturing,40_Manf_ Detailed Manufacturing,ManufacturingDetailed Manufacturing,Manufacturing - detailed manufacturing,1.29,0.2,750,10,0.18,
70,Manufacturing,Manf,Equipment Room,Equipment Room,41_Manf_ Equipment Room,ManufacturingEquipment Room,Manufacturing - equipment room,0.95,0.2,750,10,0.18,
71,Manufacturing,Manf,Extra High Bay (>50ft Floor to Ceiling Height),Extra High Bay (>50Ft),42_Manf_Extra High Bay (>50Ft),"ManufacturingExtra High Bay
(>50ft Floor to Ceiling Height)",Manufacturing - extra high bay,1.05,0.2,750,10,0.18,
72,Manufacturing,Manf,"High Bay (25–50ft Floor to Ceiling
Height)",High Bay (25-50Ft),43_Manf_High Bay (25-50Ft),"ManufacturingHigh Bay
(25–50ft Floor to Ceiling
Height)",Manufacturing - high bay,1.23,0.2,750,10,0.18,
73,Manufacturing,Manf,Low Bay (<25ft Floor to Ceiling Height),Low Bay (<25 ft),44_Manf_Low Bay (<25 ft),"ManufacturingLow Bay
(<25ft Floor to Ceiling Height)",Manufacturing - low bay,1.19,0.2,750,10,0.18,
74,Museum,Mus,General Exhibition,General Exhibition,45_Mus_ General Exhibition,MuseumGeneral Exhibition,Museum - general exhibition,1.05,0.23,25,7.5,0.06,
75,Museum,Mus,Restoration,Restoration,46_Mus_Restoration,MuseumRestoration,Museum - restoration,1.02,0.23,215,7.5,0.06,
76,Parking Garage,Parking,Garage Area,Garage Area,47_Parking_ Garage Area,Parking GarageGarage Area,Parking Garage - garage area,0.19,0,1000,0,0.75,
77,Post Office,PostOff,Sorting Area,Sorting Area,48_PostOff_Sorting Area,Post OfficeSorting Area,Post office - sorting area,0.94,0.7,142,7.5,0.12,
78,Temple/Religious Buildings,Rel_Bld,Audience Seating,Audience Seating,49_Rel_Bld_ Audience Seating,Temple/Religious BuildingsAudience Seating,Religious buildings - audience seating,1.53,0.09,8,5,0.06,
79,Temple/Religious Buildings,Rel_Bld,Fellowship Hall,Fellowship Hall,50_Rel_Bld_Fellowship Hall,Temple/Religious BuildingsFellowship Hall,Religious buildings - fellowship hall,0.64,0.09,8,5,0.06,
80,Temple/Religious Buildings,Rel_Bld,"Worship Pulpit,Choir","Worship Pulpit,Choir","51_Rel_Bld_Worship Pulpit,Choir","Temple/Religious BuildingsWorship Pulpit,Choir",Religious buildings - worship choir,1.53,0.09,8,5,0.06,
81,Retail,Ret,Dressing/FittingRoom,Dressing/FittingRoom,52_Ret_Dressing/FittingRoom,RetailDressing/FittingRoom,Retail - dressing fittingroom,0.87,0.25,300,5,0.06,
82,Retail,Ret,Mall Concourse,Mall Concourse,53_Ret_Mall Concourse,RetailMall Concourse,Retail - mall concourse,1.1,0.25,300,7.5,0.06,
83,Retail,Ret,Sales Area,Sales Area,54_Ret_Sales Area,RetailSales Area,Retail - sales area,1.68,0.25,300,7.5,0.12,
84,Sports Arena,Sport_Arena,Audience Seating,Audience Seating,55_Sport_Arena_ Audience Seating,Sports ArenaAudience Seating,Sports arena - audience seating,0.43,0.14,7,5,0.06,
85,Sports Arena,Sport_Arena,4Class-Court Sports Arena,Class 4,56_Sport_Arena_Class 4,Sports Arena4Class-Court Sports Arena,Sports arena - 4class arena,0.72,0.14,54,0,0.3,
86,Sports Arena,Sport_Arena,3Class-Court Sports Arena,Class 3,57_Sport_Arena_Class 3,Sports Arena3Class-Court Sports Arena,Sports arena - 3class arena,1.2,0.14,54,0,0.3,
87,Sports Arena,Sport_Arena,2Class-Court Sports Arena,Class 2,58_Sport_Arena_Class 2,Sports Arena2Class-Court Sports Arena,Sports arena - 2class arena,1.92,0.14,54,0,0.3,
88,Sports Arena,Sport_Arena,1Class-Court Sports Arena,Class 1,59_Sport_Arena_Class 1,Sports Arena1Class-Court Sports Arena,Sports arena - 1class arena,3.01,0.14,54,0,0.3,
89,Sports Arena,Sport_Arena,Ring Sports Arena,Ring Sports Arena,60_Sport_Arena_Ring Sports Arena,Sports ArenaRing Sports Arena,Sports arena - ring arena,2.68,0.14,54,0,0.3,
